SOL·LICITUD,NOM,TRAMITAT,POTÈNCIA (MW),MUNICIPI,CODI  MUNICIPI,COMARCA,CODI COMARCA,VEGUERIA,SOL·LICITANT,ESTAT,TRÀMIT AMBIENTAL,ESTAT AMBIENTAL,DATA PONÈNCIA,SENTIT ACORD,NÚM. AEROGENERADORS,AEROGENERADORS AL MUNICIPI
FUE-2020-01734438,Parc eòlic Ampliació Colladetes,Catalunya,13.37,"Perelló, el",431042,Baix Ebre,09,Terres de l'Ebre,"ENERVENT, SA",Autoritzat,Supòsit d'AIA,DIA/IIA Finalitzats,03/11/2022,DIA Favorable,4,4
FUE-2020-01801684,Parc eòlic Conca de Barberà I,Catalunya,50,Ribera d'Ondara,259059,Segarra,32,Lleida,"DESARROLLOS EOLICOS CUENCA DE BARBERA, SL",Autoritzat,Supòsit d'AIA,DIA/IIA Finalitzats,01/12/2022,DIA Favorable,9,9
FUE-2020-01813435,Parc eòlic Conca de Barberà II,Catalunya,20,Talavera,252167,Segarra,32,Lleida,"DESARROLLOS EOLICOS CUENCA DE BARBERA, SL",Autoritzat,Supòsit d'AIA,DIA/IIA Finalitzats,03/11/2022,DIA Favorable,4,4
FUE-2020-01814439,Parc eòlic Conca de Barberà III,Catalunya,35,Talavera,252167,Segarra,32,Lleida,"Desarrollos Eólicos Cuenca de Barberá, SL",Autoritzat,Supòsit d'AIA,DIA/IIA Finalitzats,01/12/2022,DIA Favorable,7,4
FUE-2020-01814439,Parc eòlic Conca de Barberà III,Catalunya,0,Montoliu de Segarra,251410,Segarra,32,Lleida,"Desarrollos Eólicos Cuenca de Barberá, SL",Autoritzat,Supòsit d'AIA,DIA/IIA Finalitzats,01/12/2022,DIA Favorable,0,3
FUE-2020-01824819,Parc eòlic Galatea,Catalunya,48.94,"Jonquera, la",170865,Alt Empordà,02,Girona,"Enel Green Power España, SL",Autoritzat,Supòsit d'AIA,DIA/IIA Finalitzats,12/01/2023,DIA Favorable,9,9
FUE-2021-02161704,Parc eòlic Anoia i Segarra II,Catalunya,29.9,Estaràs,250851,Segarra,32,Lleida,"Desarrollos Eólicos Anoia y Segarra II, SLU",Autoritzat,Supòsit d'AIA,DIA/IIA Finalitzats,07/09/2023,DIA Favorable,5,3
FUE-2021-02161704,Parc eòlic Anoia i Segarra II,Catalunya,0,Ivorra,251142,Segarra,32,Lleida,"Desarrollos Eólicos Anoia y Segarra II, SLU",Autoritzat,Supòsit d'AIA,DIA/IIA Finalitzats,07/09/2023,DIA Favorable,0,2
FUE-2022-02656196,Parc eòlic Renovació Colladetes,Catalunya,36.63,"Perelló, el",431042,Baix Ebre,09,Terres de l'Ebre,"ENERVENT, SA",Autoritzat,Supòsit d'AIA,DIA/IIA Finalitzats,13/04/2023,Modificació no substancial,9,9
I612/219/05,Parc eòlic Microvilalba,Catalunya,3,Vilalba dels Arcs,431750,Terra Alta,37,Terres de l'Ebre,"Microvilalba Eólica, S.L.",Autoritzat,Supòsit d'AIA,DIA/IIA Finalitzats,13/04/2023,DIA Favorable,1,1
PEol-764,Parc eòlic Tramuntana,Ministerio,70,Ascó,430192,Ribera d'Ebre,30,Terres de l'Ebre,Energía Eólica Tramontana S.L.U,Autoritzat,Supòsit d'AIA,Informat,,DIA Favorable,10,10
,Almatret,Catalunya,49.4,Almatret,250208,Segrià,33,Lleida,"EÒLICA Almatret, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,25,25
,Alta Anoia,Catalunya,28,Pujalt,081764,Anoia,06,Catalunya Central,"PARQUE EÓLICO ALTA ANOIA,SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,15,6
,Alta Anoia,Catalunya,0,Calonge de Segarra,080364,Anoia,06,Catalunya Central,"PARQUE EÓLICO ALTA ANOIA,SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,0,4
,Alta Anoia,Catalunya,0,Veciana,082975,Anoia,06,Catalunya Central,"PARQUE EÓLICO ALTA ANOIA,SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,0,3
,Alta Anoia,Catalunya,0,Calaf,080312,Anoia,06,Catalunya Central,"PARQUE EÓLICO ALTA ANOIA,SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,0,1
,Alta Anoia,Catalunya,0,"Prats de Rei, els",081705,Anoia,06,Catalunya Central,"PARQUE EÓLICO ALTA ANOIA,SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,0,1
,Baix Ebre,Catalunya,4.05,Tortosa,431554,Baix Ebre,09,Terres de l'Ebre,PEBESA,En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,27,27
,Barbers,Catalunya,30,Ascó,430192,Ribera d'Ebre,30,Terres de l'Ebre,"TARRACO EÒLICA, SA",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,12,9
,Barbers,Catalunya,0,Móra d'Ebre,430939,Ribera d'Ebre,30,Terres de l'Ebre,"TARRACO EÒLICA, SA",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,0,3
,Calobres,Catalunya,12.75,"Perelló, el",431042,Baix Ebre,09,Terres de l'Ebre,"ELECTRA MESTRAL, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,17,17
,Coll de la Garganta,Catalunya,21.71,"Torre de l'Espanyol, la",431520,Ribera d'Ebre,30,Terres de l'Ebre,"PARC EÒLIC COLL DE LA GARGANTA, SLU",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,13,9
,Coll de la Garganta,Catalunya,0,"Molar, el",430859,Priorat,29,Camp de Tarragona,"PARC EÒLIC COLL DE LA GARGANTA, SLU",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,0,4
,Coll de Moro,Catalunya,48.7,Bot,430326,Terra Alta,37,Terres de l'Ebre,"PARC EÒLIC COLL DE MORO, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,20,9
,Coll de Moro,Catalunya,0,Batea,430228,Terra Alta,37,Terres de l'Ebre,"PARC EÒLIC COLL DE MORO, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,0,7
,Coll de Moro,Catalunya,0,Caseres,430419,Terra Alta,37,Terres de l'Ebre,"PARC EÒLIC COLL DE MORO, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,0,4
,Coll de Panissot,Catalunya,9,Almatret,250208,Segrià,33,Lleida,"ECOTECNIA ENERGIAS RENOVABLES, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,3,3
,Colladetes,Catalunya,36.63,"Perelló, el",431042,Baix Ebre,09,Terres de l'Ebre,"ENERVENT, SA",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,54,54
,Collet dels Feixos,Catalunya,7.8,Alforja,430094,Baix Camp,08,Camp de Tarragona,"ESBRUG, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,6,3
,Collet dels Feixos,Catalunya,0,Duesaigües,430537,Baix Camp,08,Camp de Tarragona,"ESBRUG, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,0,3
,Conesa,Catalunya,30,Conesa,430461,Conca de Barberà,16,Camp de Tarragona,"SISTEMES ENERGÈTICS DE Conesa I, SA",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,15,15
