SOL·LICITUD,NOM,TRAMITAT,POTÈNCIA (MW),SUPERFÍCIE (Ha),MUNICIPI,CODI  MUNICIPI,COMARCA,CODI COMARCA,VEGUERIA,SUPERFÍCIE AL MUNICIPI (Ha),SOL·LICITANT,ESTAT,TIPUS DE SÒL,TRÀMIT AMBIENTAL,ESTAT AMBIENTAL,DATA PONÈNCIA,SENTIT ACORD
DICT25-00006603-2018,PSFV Sant Domènec 780kW,Catalunya,0.78,1.2,"Portella, la",251749,Segrià,33,Lleida,1.2,"Sociedad Cooperativa Sant Domènec, SCL",Autoritzat,Sòl no urbanitzable,No supòsit d'AIA,Informat,,
DICT25-00006606-2018,PSFV Sant Domènec 480kW,Catalunya,0.48,0.93,"Portella, la",251749,Segrià,33,Lleida,0.93,"Sociedad Cooperativa Sant Domènec, SCL",Autoritzat,Sòl no urbanitzable,No supòsit d'AIA,Informat,,
FUE-2020-01663938,PSFV Solar Jupiter (Renventure),Catalunya,5,7.15,"Arboç, l'",430167,Baix Penedès,12,Penedès,7.15,SOLAR JUPITER,Autoritzat,Sòl no urbanitzable,No supòsit d'AIA,Informat,,
FUE-2020-01664062,PSFV Calaf,Catalunya,3,5.3,Sant Pere Sallavinera,081897,Anoia,06,Catalunya Central,5.3,SOLAR LLOCH SL,Autoritzat,Sòl no urbanitzable,No supòsit d'AIA,Informat,,
FUE-2020-01785090,PSFV La Caseta Capmany,Catalunya,0.945,1.7,Capmany,170427,Alt Empordà,02,Girona,1.7,"Let's Surf, SL",Autoritzat,Sòl no urbanitzable,No supòsit d'AIA,Informat,,
FUE-2020-01791404,PSFV Mas Roig,Catalunya,5.4,12.15,Castelldans,250674,Garrigues,18,Lleida,12.15,PLA FINANCER SA,Autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,01/09/2022,No cal AIA ordinària
FUE-2020-01802975,PSFV Els Valentins Eguzki Solarcat,Catalunya,9,16.6,Ulldecona,431567,Montsià,22,Terres de l'Ebre,16.6,"EGUZKI SOLARCAT, S.L.",Autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,03/11/2022,No cal AIA ordinària
FUE-2020-01805239,PSFV Rufete Solar,Catalunya,50,88.9,Alcarràs,250117,Segrià,33,Lleida,88.7,"Rufete Solar,SL",Autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,02/06/2022,DIA Favorable
FUE-2020-01805239,PSFV Rufete Solar,Catalunya,0,0,Lleida,251207,Segrià,33,Lleida,0.2,"Rufete Solar,SL",Autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,02/06/2022,DIA Favorable
FUE-2020-01805537,PSFV Ulldecona,Catalunya,3.9,5.2,Ulldecona,431567,Montsià,22,Terres de l'Ebre,5.2,"SOLAR CALDERS, S.L.",Autoritzat,Sòl no urbanitzable,No supòsit d'AIA,Modificat,,
FUE-2020-01808183,PSFV Juno Solar 1,Catalunya,49.97,70.95,Alcarràs,250117,Segrià,33,Lleida,70.95,SOLARIA PROMOCION Y DESARROLLO FOTOVOLTAICO S.L.,Autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,06/10/2022,DIA Favorable
FUE-2020-01808221,PSFV Volans Solar 1,Catalunya,49.97,74.5,Alcarràs,250117,Segrià,33,Lleida,74.5,SOLARIA PROMOCION Y DESARROLLO FOTOVOLTAICO S.L.,Autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,06/10/2022,DIA Favorable
FUE-2020-01808840,PSFV Volans Solar 2,Catalunya,49.97,81.9,Alcarràs,250117,Segrià,33,Lleida,81.9,SOLARIA PROMOCION Y DESARROLLO FOTOVOLTAICO S.L.,Autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,06/10/2022,DIA Favorable
FUE-2020-01809275,PSFV Solar Park Cardener,Catalunya,2.97,4.5,Navàs,081419,Bages,07,Catalunya Central,4.5,"Solar Park Cardener, SL",Autoritzat,Sòl no urbanitzable,No supòsit d'AIA,Informat,,
FUE-2020-01809364,PSFV La Vinya,Catalunya,1.98,3.5,Cardona,080478,Bages,07,Catalunya Central,3.5,"Solar Park Vall de Coma, SL",Autoritzat,Sòl no urbanitzable,No supòsit d'AIA,Informat,,
FUE-2020-01810168,PSFV Merlot Solar,Catalunya,35.91,66.7,Cabra del Camp,430363,Alt Camp,01,Camp de Tarragona,66.7,"Merlot Solar, SL",Autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,07/07/2022,DIA Favorable
FUE-2020-01812389,PSFV RIALB,Catalunya,2.75,4.61,"Baronia de Rialb, la",250426,Noguera,23,Lleida,4.61,"SUBESTACIÓ ELÈCTRICA GURB, A.I.E",Autoritzat,Sòl no urbanitzable,No supòsit d'AIA,Informat,,
FUE-2020-01814308,PSFV Almenara Solar,Catalunya,48.29,78,"Pla de Santa Maria, el",431080,Alt Camp,01,Camp de Tarragona,78,"Almenara Solar, SL",Autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,07/07/2022,DIA Favorable
FUE-2020-01816469,PSFV Rascon Solar,Catalunya,50,104.6,Alcarràs,250117,Segrià,33,Lleida,104.6,"RASCON SOLAR, SL",Autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,03/11/2022,DIA Favorable
FUE-2020-01818306,PSFV Jilguero Solar,Catalunya,50,61.5,Alcarràs,250117,Segrià,33,Lleida,61.5,"Jilguero Solar, SL",Autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,02/06/2022,DIA Favorable
FUE-2020-01818968,PSFV Rabilargo Solar,Catalunya,50,60.8,Alcarràs,250117,Segrià,33,Lleida,60.8,"Rabilargo Solar, SL",Autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,01/09/2022,DIA Favorable
FUE-2020-01819972,PSFV Carbeso Solar,Catalunya,44.43,76,Pujalt,081764,Anoia,06,Catalunya Central,76,"Carbeso Solar, S.L.",Autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,01/12/2022,DIA Favorable
FUE-2020-01821581,PSFV Aspillera Solar,Catalunya,46.3,61.4,Bellprat,080214,Anoia,06,Penedès,61.4,"ASPILLERA SOLAR, S.L.",Autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,12/01/2023,DIA Favorable
FUE-2020-01821752,PSFV Castellfollit,Catalunya,37.77,75.3,Castellfollit del Boix,080594,Bages,07,Catalunya Central,75.3,"Xaloc Solar, SL",Autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,01/12/2022,No cal AIA ordinària
FUE-2020-01821858,PSFV Escribano Solar,Catalunya,44.9,68,Òdena,081430,Anoia,06,Penedès,68,"ESCRIBANO SOLAR, S.L.",Autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,12/01/2023,DIA Favorable
FUE-2020-01822034,PSFV Adeje Solar,Catalunya,47.5,108,"Cogul, el",250766,Garrigues,18,Lleida,91,"ADEJE SOLAR, S.L.",Autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,19/01/2023,DIA Favorable
FUE-2020-01822034,PSFV Adeje Solar,Catalunya,0,0,Granyena de les Garrigues,251057,Garrigues,18,Lleida,17,"ADEJE SOLAR, S.L.",Autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,19/01/2023,DIA Favorable
