dataDay,dataMonth,dataYear,community,province,selfConsumption,sumPower,sumEnergy,sumContracts,distributor,mi1,mi2,mi3,mi4,mi5,mi6,mi7,mi8,mi9,mi10,mi11,mi12,mi13,mi14,mi15,mi16,mi17,mi18,mi19,mi20,mi21,mi22,mi23,mi24,mi25
1,1,2023,Cataluña,Barcelona,Con excedentes sin compensación Individual con contrato de SSAA en Red Interior,23753,47917,16,,2173,1387,2258,2297,2046,2330,1743,1570,2018,1693,2420,2413,2715,2073,2022,1989,1935,1868,1790,1669,1662,1938,1755,2153,0
2,1,2023,Cataluña,Barcelona,Con excedentes sin compensación Individual con contrato de SSAA en Red Interior,23753,244837,16,,1734,1265,1664,1401,1644,1528,1490,1472,17854,18892,18830,18791,19095,13083,12703,12691,12651,12624,12593,12812,12844,12475,12515,12186,0
3,1,2023,Cataluña,Barcelona,Con excedentes sin compensación Individual con contrato de SSAA en Red Interior,23753,210629,16,,1247,1392,1558,1679,1610,2021,7656,12613,12861,13084,12854,12574,12683,12657,12665,12608,12481,12484,12543,12711,13041,13019,1361,1227,0
4,1,2023,Cataluña,Barcelona,Con excedentes sin compensación Individual con contrato de SSAA en Red Interior,23753,26612,16,,1464,1226,1413,1395,1556,1306,1277,1133,1123,388,502,591,638,634,637,1227,1199,1010,1698,1347,1244,1205,1200,1199,0
5,1,2023,Cataluña,Barcelona,Con excedentes sin compensación Individual con contrato de SSAA en Red Interior,23753,93837,16,,1201,1341,1202,1478,1640,1783,1819,1478,1505,1467,1327,1318,1541,1730,1761,1688,1566,1514,12250,12974,13123,13077,13266,1788,0
6,1,2023,Cataluña,Barcelona,Con excedentes sin compensación Individual con contrato de SSAA en Red Interior,23753,43372,16,,2042,1951,2004,1175,1046,1136,1047,1644,1834,2044,2070,2313,2261,2244,2200,2049,1898,1807,1790,1788,1794,1786,1776,1673,0
7,1,2023,Cataluña,Barcelona,Con excedentes sin compensación Individual con contrato de SSAA en Red Interior,23753,38246,16,,1642,1722,1614,1749,1594,1646,1535,1365,1343,1482,1650,1663,1654,1779,1913,1712,1672,1481,1499,1526,1503,1543,1470,1489,0
8,1,2023,Cataluña,Barcelona,Con excedentes sin compensación Individual con contrato de SSAA en Red Interior,23753,41109,16,,1488,1908,1485,1792,1800,1890,1824,1961,1946,1670,1854,1819,1665,1674,1682,1659,1668,1635,1552,1565,1545,1587,1853,1587,0
9,1,2023,Cataluña,Barcelona,Con excedentes sin compensación Individual con contrato de SSAA en Red Interior,23753,35801,16,,1573,1813,1711,1503,1719,1526,1829,1520,1436,1721,1619,1571,1634,1623,1411,1307,1172,1129,1513,1236,1207,1584,1227,1217,0
10,1,2023,Cataluña,Barcelona,Con excedentes sin compensación Individual con contrato de SSAA en Red Interior,23753,38563,16,,1245,1359,1964,1480,1757,1874,1778,1438,1545,1273,1438,1430,1608,1968,2085,1919,1683,1488,1696,1834,1464,1404,1382,1451,0
